task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	01/7c48b3	8cd15306-263d-4585-8d09-d4335e7d241c	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-protein_ksize-21_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:18.936	29.2s	20.2s	-	-	-	-	-
4	ad/3e83cc	f7018b02-83e8-45f1-816a-522efb328832	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-33_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:18.986	29.4s	20.4s	-	-	-	-	-
9	ef/ecccb9	36accdec-bee2-45c9-9f0e-ba7a994ed50e	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-protein_ksize-27_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:18.990	29.5s	20.5s	-	-	-	-	-
3	63/9d3fef	45e32dab-46db-4616-9185-86f76bfa0aec	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-27_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:18.997	29.6s	20.6s	-	-	-	-	-
5	1b/6eda2c	e59a484d-b420-487a-ab59-c668d1241383	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-51_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:18.997	29.6s	20.7s	-	-	-	-	-
2	2e/fa4ee3	f0a9e865-b7ea-4959-8dda-1abe5a048c54	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-21_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:19.038	29.7s	20.7s	-	-	-	-	-
8	a1/7372f3	26124a15-4b3b-4754-a171-a31f7e5cb129	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-protein_ksize-51_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:19.038	29.8s	20.8s	-	-	-	-	-
7	59/c30bab	f21c45b4-2723-46a5-9e87-e210dcbafb85	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-protein_ksize-33_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:19.053	29.8s	20.9s	-	-	-	-	-
10	29/e056d1	e03d09fd-f276-4868-9f9e-e2e3994d2a78	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-protein_ksize-21_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:48.605	29.5s	20.1s	-	-	-	-	-
11	b1/63118a	860a5d9a-ffdc-488e-a624-b0332d7ae580	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-33_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:48.934	29.4s	20.4s	-	-	-	-	-
13	26/2af0b7	5ae16e8f-c2a1-4cd2-acf8-18cfc4d4e71a	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-27_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:48.971	29.5s	20.5s	-	-	-	-	-
12	8b/e743fe	3681e939-58b1-4450-ac93-161591eda0f3	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-protein_ksize-27_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:49.035	29.5s	20.6s	-	-	-	-	-
14	fd/f790fe	70f1535a-b12b-4d10-9ff6-353e5f4da87f	sourmash_compute_sketch (combined_tick2_ref_transcriptome_molecule-dna_ksize-51_log2sketchsize-true)	FAILED	1	2019-06-21 16:10:49.164	29.4s	20.7s	-	-	-	-	-
